"%s and greater","%s y mayor"
"<b>%d item(s)</b> were found using the following search criteria","<b>%d item(s)</b> were found using the following search criteria"
"Advanced Search","Búsqueda Avanzada"
"Catalog Advanced Search","Búsqueda avanzada en el catálogo"
"Search Site","Búsqueda en el sitio"
"Search","Buscar"
"Search entire store here...","Buscar en toda la tienda..."
"Search entire store here...","Buscar en toda la tienda..."
"Required Fields","Campos requeridos"
"Search Settings","Configuraciones de la búsqueda"
"Grid","Cuadrícula"
"You have to specify at least one search term","Debe especificar al menos un término de búsqueda"
"Description","Description"
"up to %s","hasta %s"
"Home","Inicio"
"Go to Home Page","Ir a la pagina de inicio"
"List","Lista"
"Autogenerated site map","Mapa del sitio autogenerado"
"Modify your search","Modifique su búsqueda"
"There are no search terms available.","No existen términos de búsqueda disponibles."
"Name","Nombre"
"Price","Precio"
"Results","Resultados"
"Search results for '%s'","Resultados de la búsqueda para '%s'"
"Search results for: '%s'","Resultados de la búsqueda para: '%s'"
"Short Description","Short Description"
"SKU","SKU"
"Your search returns no results.","Su búsqueda no devolvió resultados."
"Tax Class","Tax Class"
"Search Terms","Términos de búsqueda"
"Popular search terms","Términos de Búsqueda Populares"
"Popular Search Terms","Términos de Búsqueda Populares"
"All","Todo"
