"# of Uses","# de usos"
"Action","Acción"
"Actions","Acciones"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"Add to Cart","Agregar al carrito"
"Add Tags","Agregar etiquetas"
"Add Your Tags:","Agregar sus etiquetas:"
"Add New Tag","Agregar una nueva etiqueta"
"Last Name","Apellido"
"Approved","Aprobado"
"Are you sure that you want to delete this tag?","Are you sure that you want to delete this tag?"
"Are you sure you want to delete this tag?","Are you sure you want to delete this tag?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Delete","Borrar"
"Delete Tag","Borrar la etiqueta"
"Change status","Cambiar el estado"
"SKU","Código"
"Product SKU","Código del producto"
"ZIP/Post Code","Código postal"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Email","Correo electrónico"
"CSV","CSV"
"Grid","Cuadrícula"
"Disabled","Deshabilitado"
"Edit Tag","Editar la etiqueta"
"Edit Tag '%s'","Editar la etiqueta '%s'"
"Status","Estado"
"Tag","Etiqueta"
"Tagged in","Etiquetado en"
"Tags","Etiquetas"
"Customers Tagged '%s'","Etiquetas de los clientes '%s'"
"Product Tags","Etiquetas del producto"
"Pending Tags","Etiquetas pendientes"
"Popular Tags","Etiquetas populares"
"Tags:","Etiquetas:"
"Thank you. Your tag has been accepted for moderation.","Gracias. Su etiqueta ha sido transferida al sector de moderación"
"Save Tag","Guardar la etiqueta"
"ID","ID"
"Tag Information","Información de la etiqueta"
"Block Information","Información del bloque"
"General Information","Información general"
"Tag can't be empty.","La etiqueta no pude estar vacía."
"Tags Aren't Available","Las etiquetas no están disponibles"
"List","Lista"
"My Tags","Mis etiquetas"
"My Recent Tags","Mis etiquetas recientes"
"You have not tagged any products yet.","No ha etiquetado ningún producto aún."
"No matches found.","No se encontraron coincidencias"
"Unable to find any products tagged with '%s' in the current store","No se pudieron encontrar productos etiquetados con '%s' en la tienda actual"
"Unable to save your tag. Please, try again later.","No se pudo grabar su etiqueta. Por favor, intente más tarde."
"Unable to remove tag. Please, try again later.","No se pudo quitar la etiqueta. Por favor, intente más tarde."
"Name","Nombre"
"First Name","Nombre"
"Tag Name","Nombre de la etiqueta"
"Tag Name: %s","Nombre de la etiqueta: %s"
"Product Name","Nombre del producto"
"New Tag","Nueva etiqueta"
"Other people marked this product with these tags:","Otras personas marcaron este producto con las siguientes etiquetas:"
"Country","País"
"Pending","Pendiente"
"Popular","Popular"
"Popularity","Popularidad"
"Price","Precio"
"Click on a tag to view your corresponding products.","Presione sobre una etiqueta para ver sus correspondientes productos."
"Products","Productos"
"Products tagged with '%s'","Productos etiquetados con '%s'"
"Products Tagged with '%s'","Productos etiquetados con '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Products tagged with '%s' (<a href='%s'>RSS</a>)"
"Back to Tags List","Regresar a la lista de etiquetas"
"Back to view Tag","Regresar a la vista de etiquetas"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Search Results for '%s' (<a href='%s'>RSS</a>)"
"Your tag(s) have been accepted for moderation","Su etiqueta fue aceptada para ser moderada"
"You tag was successfully saved","Su etiqueta fue grabada exitosamente"
"Telephone","Teléfono"
"All tags","Todas las etiquetas"
"All Tags","Todas las etiquetas"
"Unable to save tag(s)","Unable to save tag(s)"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espacios para separar etiquetas. Use comillas simples (') para las frases."
"Uses","Usos"
"View Customers","Ver los clientes"
"View Products","Ver los productos"
"View All Tags","Ver todas las etiquetas"
"View All","Ver todos"
"Visible In","Visible en"
"Back","Volver atrás"
"XML","XML"
"You tag was successfully deleted","You tag was successfully deleted"
