"Eav code","EAV kod"
"Manage attributes","Hantera attribut"
"Publish","Publicera "
"%s codes not imported","%s koder importerades inte"
"Feed","Feed"
"Unable to process an import. ","Det gick inte att behandla importen."
"Delete","Ta bort"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","För att kunna komma åt ditt FTP kontos information, måste du först registrera och verifiera din butik i TheFind Merchant Center. Klicka <a href=""https://merchant.thefind.com/mc/claim.fhtml"">här</a> för att komma igång."
"Product Name","Produktnamn"
"%s codes deleted","%s koder togs bort"
"FTP User","FTP användare"
"TheFind feed","Find feeden"
"Attributes map","Attributkarta"
"Import code","Importkod"
"FTP Settings","FTP inställningar"
"Not publish","Inte publicerat "
"TheFind Feed Filename","Find feed filnamnet"
"Add new","Lägg till ny"
"ID","ID"
"FTP Password","FTP lösenord"
"Not import","Inte import"
"Settings","Inställningar"
"%s product in feed.","%s produkter i feeden."
"Feed code","Feed kod"
"Cron Hour","Cron timme"
"Is imported","Är importerad"
"Product import","Produkt import"
"%s codes imported","%s koder importerade"
"FTP: Can't delete files","FTP: Kan inte ta bort filer"
"Type","Typ"
"Cron Frequency","Cron frekvens"
"In feed","I feeden"
"FTP Server","FTP Server"
"Price","Pris"
"The Find","Finden"
"%s product not in feed.","%s produkt finns inte i feeden."
"Import attribute map","Importera attributkarta"
"FTP Path","FTP sökväg"
"Manage items","Hantera artiklar"
"SKU","Artikelnummer"
"Attrib. Set Name","Attributmängds namn"
"Import","Import"
