"Incl. Tax","Inkl. moms"
"Price Type","Pristyp"
"Bundle Items","Paketartiklar"
"Shipment","Försändelse"
"Default","Standard"
"None","Inga"
"User Defined Qty","Användardefinierad antal"
"From:","Från:"
"Price Range","Prisintervall"
"As Low as","Från"
"Ship Bundle Items","Försända paketartiklar"
"Default Title","Standardtitel"
"N/A","Ej tillgängligt"
"To","Till"
"Fixed","Fast"
"Please select options for product.","Vänligen välj alternativ för produkten."
"Add New Option","Lägg till alternativ"
"Message:","Meddelande:"
"Required options are not selected.","Obligatoriska val är inte valda."
"Checkbox","Kryssruta"
"Together","Tillsammans"
"Dynamic","Dynamisk"
"Please Select Products to Add","Vänligen välj produkter"
"Input Type","Indatatyp"
"Qty:","Antal:"
"Bundle Product","Paketprodukt"
"Store View Title","Butiksvyns titel"
"Close","Stäng"
"Percent Discount","Rabatt i procent"
"Gift Message","Presentmeddelande"
"Price as configured","Pris som konfigurerad"
"As low as","Från"
"Separately","Separat"
"Default Qty","Standardantal"
"No options of this product are available.","Inga av denna produkts alternativ är tillgängliga."
"Use Default Value","Använd förvald värde"
"From","Från"
"Please specify product option(s).","Vänligen specificera produktens alternativ."
"Add Selection","Lägg till val"
"Multiple Select","Flerval"
"Selected required options are not available.","Valda obligatoriska alternativ finns inte tillgängliga."
"Choose a selection...","Välj ett alternativ..."
"To:","Till:"
"Drop-down","Rullgardinsmeny"
"Please enter search conditions to view products.","Vänligen ange sökvillkor för att se produkter."
"-- Select --","-- Välj --"
"Is Required","Är obligatorisk"
"Radio Buttons","Radioknappar"
"Buy %1$s with %2$s discount each","Köp %1 med %2 rabatt styck"
"This product is also part of bundle(s)","Denna produkt ingår även i paketen"
"Excl. Tax","Exkl. moms"
"Percent","Procent"
