"Start/Reset Validation...","Starta/nollställ validering..."
"This card has failed validation, but it is possible to place the order.","Detta kort har misslyckats valideringen, men det är möjligt att placera order."
"Enrolled","Inskriven"
"Verification Successful","Verifiering genomförd"
"Please verify the card with the issuer bank before placing the order.","Vänligen kontrollera kortet med utgivarens bank innan du lägger beställningen."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Felaktiga betalningsuppgifter har lämnats eller tidsfristen har löpt ut. Vänligen försök igen."
"3D Secure Electronic Commerce Indicator","3D Secure elektronisk commerce indikator"
"Verified by Visa","Verifierad av Visa"
"Payment information error. Please start over.","Fel i betalningsinformation, vänligen börja om."
"The card has failed verification with the issuer bank.","Kortverifieringen har misslyckats med utgivarens bank."
"Validation failed.","Validering misslyckades."
"Not Enrolled","Inte inskrivna"
"Successful attempt","Framgångsrika försök"
"To ensure the security of your transactions","För att garantera säkerheten för dina transaktioner"
"Card Verification","Kortvalidering"
"Please verify the card with the issuer bank:","Vänligen kontrollera kortet med utgivarens banken:"
"This card has failed validation and cannot be used.","Detta kort har misslyckats validering och kan inte användas."
"Card Issuer Liability","Kortutgivare ansvar"
"Verification cannot be processed","Verifiering kan inte behandlas"
"Please continue with placing order.","Vänligen fortsätt med beställningen."
"3D Secure Card Validation","3D Secure Card validering"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Felaktiga betalningsuppgifter har lämnats eller tidsfristen har löpt ut. Vänligen försök igen."
"Verification Failed","Verifiering misslyckades"
"Order cannot be placed.","Beställningen kan inte genomföras."
"Successful","Genomfört"
"Unable to complete","Det gick inte att slutföra"
"Failed","Misslyckades"
