"Manage Items","Hantera poster"
"Error: %s","Fel: %s"
"View Available Products","Se tillgängliga produkter"
"AuthSub","AuthSub"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Sessionen löpte ut under exporten. Vänligen se över exporterade produkter och upprepa proceduren om det behövs."
"Invalid Product Model for Google Base Item","Ogiltig produktmodell för Google Base-post"
"Are you sure?","Är du säker?"
"Page views","Sidvisningar"
"Google Base Item type","Google Base-posttyp"
"Confirm","Bekräfta"
"Total of %d product(s) have been added to Google Base.","Totalt %d produkt(er) har lagts till Google Base."
"Account Login","Kontoinloggning"
"New ItemType","Ny produkttyp"
"Expires","Utgår"
"Yes","Ja"
"British Pound Sterling","Brittiskt pund sterling"
"Target Country","Målland"
"Item Types","Posttyper"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kunde inte anlsuta till Google Base. Vänligen kontrollera inställningarna för Google Base."
"Attribute Set","Attributmängd"
"Product Name","Produktnamn"
"Google base","Google bas"
"Custom attribute, no mapping","Skräddarsytt attribut, ingen koppling"
"Account Type","Kontotyp"
"No items were deleted from Google Base","Inga poster har tagits bort från Google Base"
"Google","Google"
"Captcha confirmation error: %s","Felmeddelande för Captcha: %s"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Denna åtgärd kommer att uppdatera statistik om poster och ta bort poster som inte är tillgängliga i Google Base. Vill du verkligen fortsätta?"
"Items","Poster"
"Delete Mapping","Ta bort koppling"
"United Kingdom","Storbritannien"
"Attributes","Attribut"
"Published","Publicerat"
"Hosted","Hostad"
"Add Attribute Mapping","Lägg till attributkoppling"
"No items were saved as inactive items","Inga poster har sparats som inaktiva poster"
"Google Base Attribute","Google Base-attribut"
"Catalog","Katalog"
"Total of %d items(s) have been published.","Totalt %d produkt(er) har publicerats."
"Manage Attributes","Hantera attribut"
"Edit Item Type ""%s""","Ändra produkttyp ""%s"""
"Update Google Base Item when Product is Updated","Uppdatera även Google Base-posten när produkten har uppdaterats"
"Attributes Set","Attributmängd"
"Save Mapping","Spara koppling"
"Impr.","Exponeringar"
"Add to Google Base","Lägg till i Google Base"
"Object model is not specified to save Google Base entry.","Object model is not specified to save Google Base entry."
"Google Base Item Type","Google Base-posttyp"
"ClientLogin","Klientlogin"
"Total of %d items(s) have been saved as inactive items.","Totalt %d produkt(er) har sparats som inaktiva objekt."
"New Item Type","Ny posttyp"
"Euro","Euro"
"View Item in Google Base","Se posten i Google Base"
"Available Products","Tillgängliga produkter"
"Synchronize","Synkronisera"
"Item Type was deleted","Posttyp har tagits bort"
"US Dollar","US Dollar"
"Attribute","Attribut"
"Please, select Attribute Set and Google Item Type to load attributes","Vänligen välj attributmängd och Google Base-posttyp för att ladda attribut"
"Google Base Items","Google Base-poster"
"Current Mapping will be reloaded. Continue?","Nuvarande koppling kommer att laddas om. Vill du fortsätta?"
"Account Password","Kontolösenord"
"No","Antal"
"Germany","Tyskland"
"Cannot update Google Base Item for Store '%s'","Det går inte att uppdatera Google Base produkt för butik '%s'"
"The item type has been saved.","Produkttypen har sparats."
"Item model is not specified to delete Google Base entry.","Produktmodellen är inte specificerat att ta bort Google Base posten."
"Delete","Ta bort"
"Unable to select a Store View.","Det går inte att välja en butik."
"Attribute Set and Item Type","Attributmängd och artikeltyp"
"Publish","Publicera"
"Hide","Göm"
"Active","Aktiv"
"No items were published","Inga poster har publicerats"
"Google Base","Google Bas"
"Captcha has been confirmed.","Captcha har bekräftats."
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Totalt %d produkt(er) har tagits bort, totalt %d produkt(er) har uppdaterats."
"Manage Attribute Mapping","Hantera attributkoppling"
"Edit Item Type","Ändra posttyp"
"United States","U.S.A."
"Attributes Mapping","Attributkoppling"
"Remove","Ta bort"
"Hosted or Google","Hosted eller Google"
"Add New Attribute","Lägg till nytt attribut"
"No products were added to Google Base","Inga produkter har lagts till i Google Base"
"Google Base ID","Google Base-ID"
"Clicks","Klick"
"Total of %d items(s) have been removed from Google Base.","Totalt %d produkt(er) har tagits bort från Google Base."
