"Use Default","Använd förvald"
"One Page Checkout","Ensideskassa"
"Conversion Page URL","URL för konverteringssida"
"Please select store view to see the URL","Vänligen välj butiksvy för att se URL:n"
"-- Please Select --","-- Vänligen välj --"
"Variant Page","Variantsida"
"Order Success (One Page Checkout)","Slutförd beställning (ensideskassa)"
"Enable","Aktivera"
"Product View Optimization","Optimering av produktvy"
"All fields of script types have to be filled.","Samtliga fält för skripttyper måste fyllas i."
"Other","Annat"
"Shopping Cart","Varukorg"
"Google Website Optimizer","Google webbplatsoptimerare"
"Category View Optimization","Optimering av kategorivy"
"Page View Optimization","Optimering av sidvy"
"Tracking Script","Spårningsskript"
"Multi Address Checkout","Kassa med flera adresser"
"Conversion Page","Konversionssida"
"Please copy and paste this value to experiment edit form.","Kopiera och klistra in detta värde för att experimentera formuläret.."
"Use Default Values","Använd förvalda värden"
"Order Success (Multi Address Checkout)","Slutförd beställning (kassan med flera adresser)"
"Conversion Script","Konverteringsskript"
"Please select store view to see the URL.","Välj butik för att se URL:en."
"Account Registration","Registrera konto"
"Original Page","originalsida"
"Scripts Install URL","Installations-URL för skript"
"Google Optimizer Scripts","Google Optimizer-skript"
"Attributes","Attribut"
"Page Type","Sidtyp"
"The limit is 8 attributes only.","Gränsen är bara 8 attribut."
"Install Scripts","Installera skript"
"Control Script","Kontrollskript"
"Please copy and paste this value to experiment edit form","Vänligen kopiera och klistra detta värde för att utföra experiment"
