"Display %s first","Visa %s first"
"Show","Visa"
"Time selection:","Val av tid:"
"Left Column","Vänsterkolumn"
"Welcome, %s!","Välkommen, %s!"
"Date selection:","Välj datum:"
"Select date","Välj datum"
"Select Store:","Välj butik:"
"Select Store","Välj butik"
"Empty","Tomt"
"Time:","Tid:"
"Close Window","Stäng fönstret"
"Close","Stäng"
"Interface Language","Språk för gränssnittet"
"Page Top","Sidtopp"
"Page Footer","Sidfot"
"Page Bottom","Sidan längst ner"
"Page:","Sida:"
"Report All Bugs","Rapportera alla buggar"
"per page","per sida"
"Redirecting...","Omdirigerar..."
"About the calendar","Om kalendern"
"Navigation Bar","Navigeringsmeny"
"Next month (hold for menu)","Nästa månad (håll ner för meny)"
"Next year (hold for menu)","Nästa år (håll för meny)"
"Next","Nästa"
"Click <a href=""%s"">here</a> if nothing has happened","Klicka <a href=""%s"">här</a> om inget har hänt"
"JavaScript seem to be disabled in your browser.","JavaScript verkar vara inaktiverad i din webbläsare."
"Main Content Area","Huvudinnehållet"
"Help Us to Keep Magento Healthy","Hjälp oss att förbättra Magento"
"Right Column","Högerkolumn"
"Free Shipping on orders over 50$","Gratis frakt på beställningar över 50 $"
"Default welcome msg!","Förvald välkomstmeddelande!"
"Default Description","Förvald beskrivning"
"Prev. month (hold for menu)","Föregående månad (håll ner för meny)"
"Previous","Föregående"
"For latest version visit: %s","För senaste versionen gå till: %s"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Du måste ha JavaScript aktiverat i din webbläsare för att kunna använda funktionaliteten på denna hemsida."
"Drag to move","Dra för att flyta"
"Your Language:","Ditt språk:"
"Your Language","Ditt språk"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Detta är en demobutik. Beställningar som läggs kommer inte att behandlas."
"Breadcrumbs","Breadcrumbs"
"Items %s to %s of %s total","Artiklar %s till %s av totalt %s"
"All Two-Column Layout Pages (Right Column)","Alla två kolumns layoutsidor (högerkolumn)"
"All Three-Column Layout Pages","Alla tre kolumns layoutsidor"
"All Empty Layout Pages","Alla tomma layoutsidor"
"All Pages (Print Version)","Alla sidor (skriv ut version)"
"All Pages","Alla sidor"
"All Two-Column Layout Pages (Left Column)","Alla 2-kolumns layoutsidor (vänsterkolumn)"
"All One-Column Layout Pages","Alla 1-kolumns layout sidor"
"3 columns","3 kolumner"
"2 columns with left bar","2 kolumner med vänster kolumn"
"2 columns with right bar","2 kolumner med högerkolumn"
"1 column","1 kolumn"
"%s Item(s)","%s artiklar"
"(ver. %s)","(version %s)"
"(Shift-)Click or drag to change value","(Skift-) klicka eller drag för att ändra"
"-- Please Select --","-- Vänligen välj --"
"- Hold mouse button on any of the above buttons for faster selection.","- Håll musknappen nedtryckt på någon av ovanstående knappar för snabbare val."
"- or Shift-click to decrease it","- eller Shift-klick för att minska det"
"- or click and drag for faster selection.","- eller klicka och drag för snabbare val."
"- Use the %s, %s buttons to select year","- Använd %s, %s knapparna för att välja år"
"- Use the %s buttons to select month","- Använd %s knapparna för att välja måand"
