"Credit Card Verification","Verifiering av bankkort"
"Transaction Key","Transaktionsnyckel"
"Payment authorization transaction has been declined.","Transaktion för auktorisering av betalning har nekats."
"Title","Titel"
"Test Mode","Testläge"
"Maximum Order Total","Största orderbelopp."
"Sort Order","Sortering"
"Invalid amount for authorization.","Ogiltigt belopp för auktorisering."
"Invalid transaction ID.","Ogiltig transaktionsid"
"Minimum Order Total","Minsta orderbelopp"
"API Login ID","Inloggningsnamn för API"
"Error in capturing the payment.","Fel när betalningen fångades."
"Payment authorization error.","Ett fel uppstod vid auktorisering av betalning."
"Error in refunding the payment.","Ett fel uppstod vid återköp av betalning."
"Authorize Only","Endast auktorisering"
"Email Customer","E-posta kund"
"Payment Action","Betalningsåtgärd"
"Payment from Specific Countries","Betalning från särskilda länder"
"Payment from Applicable Countries","Betalning från godkända länder"
"Credit Card Types","Bankkortstyper"
"Debug","Avlusa"
"Authorize and Capture","Auktorisera och debitera"
"Enabled","Aktiverad"
"Accepted Currency","Accepterade valutor"
"New Order Status","Ändrat status för beställning"
