"Sitemap","Webbkarta"
"Weekly","Veckovis"
"Sitemap generate Warnings","Varningar för skapande av webbkarta"
"Please create the specified folder ""%s"" before saving the sitemap.","Vänligen skapa den specifika mappen ""%s"" innan du sparar sitemapen."
"Please make sure that ""%s"" is writable by web-server.","Vänligen se till att ""%s"" är skrivbar av servern."
"Please define correct path","Vänligen definiera den korrekta sökvägen."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Vänligen används endast bokstäver (a-z, eller A-Z), siffror (0-9) eller understreck (_) i filnamnet. Inga mellanslag eller andra tecken är tillåtna."
"Hourly","Timvis"
"Start Time","Starttid"
"Last Time Generated","Skapades senast"
"The sitemap has been saved.","Sitemappen har sparats."
"This sitemap no longer exists.","Sitemappen finns inte längre."
"The sitemap ""%s"" has been generated.","Sitemappen ""%s"" har genererats."
"The sitemap has been deleted.","Sitemapen har tagits bort."
"Path","Sökväg"
"The priority must be between 0 and 1.","Prioriteten måste vara mellan 0 och 1."
"Priority","Prioritet"
"New Sitemap","Ny sidkarta"
"Error Email Recipient","Mottagare av felmeddelande via e-post"
"Error Email Template","Mall för felmeddelande via e-post"
"Monthly","Månadsvis"
"Link for Google","Länk till Google"
"Add Sitemap","Lägg till sidkarta"
"Generation Settings","Inställningar för skapande av sidkarta"
"ID","ID"
"Google Sitemap","Google Sitemap"
"Valid values range: from 0.0 to 1.0.","Giltiga värdens intervall: from 0.0 till 1.0."
"Generate","Generera"
"Frequency","Frekvens"
"Filename","Filnamn"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Filen ""%s"" kan inte sparas. Vänligen, se till att mappen ""%s"" är skrivbar av servern."
"Unable to find a sitemap to delete.","Det gick inte att hitta en sitemap att ta bort."
"Unable to find a sitemap to generate.","Det gick inte att hitta en sitemap att generera."
"Unable to generate the sitemap.","Det gick inte att generera sitemappen. "
"Daily","Dagligen"
"Store View","Butiksvy"
"Error Email Sender","Avsändare av felmeddelande via e-post"
"Products Options","Alternativ för produkt"
"Categories Options","Alternativ för kategorier"
"CMS Pages Options","Alternativ för CMS-sidor"
"Always","Alltid"
"Never","Aldrig"
"Enabled","Aktiverad"
"Edit Sitemap","Ändra på sidkartan"
"Action","Åtgärd"
"Yearly","Årligen"
