"View Products","Visa produkter"
"View Customers","Visa kunder"
"View All Tags","Visa alla etiketter"
"Pending","Väntar på granskning"
"Click on a tag to view your corresponding products.","Välj en etikett för att se dina motsvarande produkter"
"Back to Tags List","Tillbaka till etikettlistan"
"Back","Tillbaka"
"Telephone","Telefonnummer"
"Products Tagged by Customers","Taggade produkter av kunder"
"Products Tagged by Administrators","Taggade produkter av administratörer"
"Delete Tag","Ta bort etiketten"
"Delete","Ta bort"
"Save and Continue Edit","Spara och fortsätt ändra"
"Save Tag","Spara etiketten"
"Grid","Rutnät"
"Edit Tag '%s'","Redigera etikett '%s'"
"Catalog Product View","Produktvy"
"Product Name","Produktnamn"
"Product Tags","Produktetiketter"
"Products tagged with '%s'","Produkter taggade med '%s'"
"Products Tagged with '%s'","Produkter taggade med '%s'"
"Products","Produkter"
"Price","Pris"
"ZIP/Post Code","Postnummer"
"Popular Tags","Populära etiketter"
"Popular","Populära"
"New Tag","Ny etikett"
"Name","Namn"
"My Recent Tags","Mina senaste etiketter"
"My Tags","Mina etiketter"
"List","Lista"
"Country","Land"
"Add New Tag","Lägg till ny etikett"
"Add to Wishlist","Lägg till i önskelistan"
"Add Tags","Lägg till etiketter"
"Add Your Tags:","Lägg till dina etiketter:"
"Add to Cart","Lägg i varukorgen"
"Customers Tagged '%s'","Kunder taggade '%s'"
"Customers","Kunder"
"Customer Since","Kund sedan"
"No matches found.","Inga träffar."
"Disabled","Inaktiverad"
"Manage Tags","Hantera etiketter"
"Approved","Godkänd"
"First Name","Förnamn"
"Tag Name","Etikettnamn"
"Tags List (All Available)","Etikettlistor (Alla tillgängliga)"
"Tags:","Etiketter:"
"Pending Tags","Etiketter att granska"
"Tags","Etiketter"
"The tag has been deleted.","Etiketten har tagits bort."
"Tag ""%s"" has been rejected by administrator.","Etiketten ""%s"" har avvisats av administratören."
"Tagged Products List","Etikett produktlistor"
"Tag ""%s"" has already been added to the product.","Etikett ""%s"" har redan lagts till produkten."
"Tag ""%s"" has been added to the product.","Etikett ""%s"" har lagts till produkten."
"Tag","Etikett"
"Last Name","Efternamn"
"Email","E-post"
"You have not tagged any products yet.","Du har ännu inte satt etiketter på några produkter."
"Unable to remove tag. Please, try again later.","Det gick inte att ta bort etiketten. Vänligen försök igen senare."
"Unable to save tag(s).","Det gick inte att spara etikett(er)."
"Unable to find any products tagged with '%s' in the current store","Det gick inte att hitta produkter taggade med '%s' i den aktuella butiken."
"There are no tags available.","Det finns inga tillgängliga etiketter."
"Store View","Butiksvy"
"Block Information","Blockinformation"
"Base Popularity","Baspopularitet"
"Product SKU","Artikelnummer för produkt"
"SKU","Artikelnummer"
"Use spaces to separate tags. Use single quotes (') for phrases.","Använd mellanslag för att separera etiketter. Använd apostrofer (') för fraser."
"# of Uses","Antal användningar"
"Other people marked this product with these tags:","Andra har satt följande etiketter på denna produkt:"
"General Information","Allmän information"
"All Tags","Alla etiketter"
"Are you sure?","Är du säker?"
"Are you sure you want to delete this tag?","Är du säker på att du vill ta bort denna etikett?"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Change status","Ändra status"
"Action","Åtgärd"
"<strong>Tag Name:</strong> %s","<strong>Etikettnamn:</strong> %s"
